attachment_id	text	user_id	height	width	length	train	begin	end
0c9b7cf0-161a-405a-821a-8a2e850cfb35	Ё	185bd3a81d9d618518d10abebf0d17a8	224	224	118	True	27	84
20eeab9b-fea5-4549-a071-66adc68c9ebc	А	185bd3a81d9d618518d10abebf0d17a8	224	224	128	True	30	64
2ba398bf-84d6-4797-8f50-a7fd4357b28b	Р	185bd3a81d9d618518d10abebf0d17a8	224	224	115	True	34	84
e88d8da4-177c-4ee7-b3bd-7f2a0a5dd16f	Е	185bd3a81d9d618518d10abebf0d17a8	224	224	91	True	27	67
912b7780-48e1-4cb1-aa7c-d8b21a838a50	Ч	185bd3a81d9d618518d10abebf0d17a8	224	224	69	True	14	50
f1a63ec7-32fe-4e43-8479-1d2bce29e611	Л	185bd3a81d9d618518d10abebf0d17a8	224	224	89	True	18	63
672b51f5-e4d7-41fe-9331-036afc14eb4f	Ц	95af8e702c909eee7145c6dc1a3d756b	224	224	86	True	15	64
cc384c1b-bc9c-4b98-9fb5-0132616fd313	С	185bd3a81d9d618518d10abebf0d17a8	224	224	127	True	29	92
bab8f530-06c9-4ad4-8ae8-7564de6ada46	Й	185bd3a81d9d618518d10abebf0d17a8	224	224	140	True	33	97
a3dff077-5a13-4e81-a26a-94d1730671bc	З	185bd3a81d9d618518d10abebf0d17a8	224	224	63	True	5	39
16161239-3ab7-4a73-8916-4497b5ef0e8c	Ь	185bd3a81d9d618518d10abebf0d17a8	224	224	81	True	31	96
7ccd8741-de32-4d24-860d-3da5424b2b7d	Я	185bd3a81d9d618518d10abebf0d17a8	224	224	91	True	17	57
8c217e0c-c1f5-4527-af10-e8c56261f8bb	Б	185bd3a81d9d618518d10abebf0d17a8	224	224	97	True	20	68
bead61cd-be93-43d7-b26b-74b5ee226f10	Щ	185bd3a81d9d618518d10abebf0d17a8	224	224	85	True	20	60
68661322-2e64-4338-9f98-a2fab6810b8e	У	185bd3a81d9d618518d10abebf0d17a8	224	224	80	True	17	53
4a5911d5-9122-48cf-b5a1-0329254154eb	Ы	185bd3a81d9d618518d10abebf0d17a8	224	224	82	True	17	60
f81db8e7-1f96-4e67-8fa5-1c05a585768b	Д	185bd3a81d9d618518d10abebf0d17a8	224	224	85	True	21	62
14fc4ab8-b796-4a4c-bdc2-c8de3035111a	Ф	185bd3a81d9d618518d10abebf0d17a8	224	224	83	True	19	57
b2964faa-6cda-4ee7-acb1-8b12c5c0256b	Т	185bd3a81d9d618518d10abebf0d17a8	224	224	83	True	16	60
32f684a3-0ead-4174-97d5-95b158f0e799	Ъ	185bd3a81d9d618518d10abebf0d17a8	224	224	123	True	22	82
f8329041-04b0-4871-bfe0-b200dcf79066	О	185bd3a81d9d618518d10abebf0d17a8	224	224	121	True	29	93
73b3766f-67be-4669-9bbb-b3345dad8c5d	М	185bd3a81d9d618518d10abebf0d17a8	224	224	78	True	11	55
f5f3dacd-2c9b-4834-8c72-f3856294270a	П	185bd3a81d9d618518d10abebf0d17a8	224	224	133	True	38	96
bfde8c51-15ce-4f61-ac1a-87745cf8147d	Х	185bd3a81d9d618518d10abebf0d17a8	224	224	51	True	9	34
fa1f9438-e924-4cc6-8d76-6e210ba5939e	Э	185bd3a81d9d618518d10abebf0d17a8	224	224	46	True	12	56
a50281c9-7a39-47dd-bf0e-828ac52d866f	Ц	185bd3a81d9d618518d10abebf0d17a8	224	224	64	True	11	49
d4f148ed-3cee-48f7-8a6b-3b2b46e5c8cf	Н	185bd3a81d9d618518d10abebf0d17a8	224	224	57	True	9	44
e9928175-2ef8-4598-a2a7-1d569394c96c	В	185bd3a81d9d618518d10abebf0d17a8	224	224	80	True	16	56
d8d30324-d81a-4e45-9d17-fd64a4a16a2d	Ю	185bd3a81d9d618518d10abebf0d17a8	224	224	71	True	14	51
cb4f980d-c202-4ac3-b943-f8343a2d968e	Ш	185bd3a81d9d618518d10abebf0d17a8	224	224	81	True	18	60
